image,caption_1,caption_2,caption_3,caption_4,caption_5
1000268201_693b08cb0e.jpg,A girl going into a wooden building .,A little girl climbing into a wooden playhouse .,A little girl in a pink dress going into a wooden cabin .,A little girl climbing the stairs to her playhouse .,A child in a pink dress is climbing up a set of stairs in an entry way .
1001773457_577c3a7d70.jpg,Two dogs of different breeds looking at each other on the road .,Two dogs on pavement moving toward each other .,A black dog and a white dog with brown spots are staring at each other in the street .,A black dog and a spotted dog are fighting,A black dog and a tri-colored dog playing with each other on the road .
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .,A little girl covered in paint sits in front of a painted rainbow with her hands in a bowl .,A little girl is sitting in front of a large painted rainbow .,Young girl with pigtails painting outside in the grass .,A small girl in the grass plays with fingerpaints in front of a white canvas with a rainbow on it .
1003163366_44323f5815.jpg,A man lays on the bench to which a white dog is also tied .,A shirtless man lies on a park bench with his dog .,a man sleeping on a bench outside with a white and black dog sitting next to him .,man laying on bench holding leash of dog sitting on ground,A man lays on a bench while his dog sits by him .
1007129816_e794419615.jpg,A man wears an orange hat and glasses .,A man with glasses is wearing a beer can crocheted hat .,The man with pierced ears is wearing glasses and an orange hat .,A man in an orange hat starring at something .,A man with gauges and glasses is wearing a Blitz hat .
1007320043_627395c3d8.jpg,A small child grips onto the red ropes at the playground .,A little girl climbing on red roping .,A child playing on a rope net .,The small child climbs on a red ropes on a playground .,A little girl in pink climbs a rope bridge at the park .
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .,A black and white dog is running through the grass .,A Boston Terrier is running on lush green grass in front of a white fence .,A black and white dog is running in a grassy garden surrounded by a white fence .,A Boston terrier is running in the grass .
1012212859_01547e3f17.jpg,A white dog shakes on the edge of a beach with an orange ball .,"Dog with orange ball at feet , stands on shore shaking off water",White dog with brown ears standing near water with head turned to one side .,"A dog shakes its head near the shore , a red ball next to it .",White dog playing with a red ball on the shore near the water .
1015118661_980735411b.jpg,Smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him .,A boy smiles in front of a stony wall in a city .,A young child is walking on a stone paved street with a metal pole and a man behind him .,A little boy is standing on the street while a man in overalls is working on a stone wall .,A young boy runs aross the street .
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .,A mottled black and grey dog in a blue collar jumping over a fallen tree .,A black dog leaps over a log .,A grey dog is leaping over a fallen tree .,A large black dog leaps a fallen log .
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .,A dog is running in the snow,A dog running through snow .,A brown and white dog is running through the snow .,a white and brown dog is running through a snow covered field .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow,A man in a hat is displaying pictures next to a skier in a blue hat .,A person wearing skis looking at framed pictures set up in the snow .,A man skis past another man displaying paintings in the snow .,A skier looks at framed pictures in the snow next to trees .
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays,A collage of one person climbing a cliff .,Several climbers in a row are climbing the rock while the man in red watches and holds the line .,A group of people are rock climbing on a rock climbing wall .,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .,A brown dog running on a lawn near a garden hose,A dog is playing with a hose .,A brown dog chases the water from a sprinkler on a lawn .,Large brown dog running away from the sprinkler in the grass .
1019604187_d087bf9a5f.jpg,A dog prepares to catch a thrown object in a field with nearby cars .,A white dog running after a yellow ball,A white dog is about to catch a yellow ball in its mouth .,A white dog is ready to catch a yellow ball flying through the air .,A white dog is about to catch a yellow dog toy .
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .,The white dog is playing in a green field with a yellow toy .,A dog leaps to catch a ball in a field .,a black and white dog jumping in the air to get a toy .,A black and white dog jumps up towards a yellow toy .
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .,A child and a woman are at waters edge in a big city .,"Two people are at the edge of a lake , facing the water and the city skyline .",A young boy waves his hand at the duck in the water surrounded by a green park .,A little boy at a lake watching a duck .
1022454428_b6b660a67b.jpg,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .",Couple with a baby sit outdoors next to their stroller .,A man and woman care for an infant along the side of a body of water .,A couple sit on the grass with a baby and stroller .,A couple with their newborn baby sitting under a tree facing a lake .
1022975728_75515238d8.jpg,A black dog running in the surf .,A black lab with tags frolicks in the water .,This is a black dog splashing in the water .,A dog splashes in the water,The black dog runs through the water .
102351840_323e3de834.jpg,A person standing on a frozen lake .,Two men are ice fishing .,A person in the snow drilling a hole in the ice .,A man drilling a hole in the ice .,A man is drilling through the frozen ice of a pond .
1024138940_f1fefbdce1.jpg,Two different breeds of brown and white dogs play on the beach .,Two dogs playing together on a beach .,Two dogs are making a turn on a soft sand beach .,Two large tan dogs play along a sandy beach .,Two dogs playing in the sand at the beach .
102455176_5f8ead62d5.jpg,Climber climbing an ice wall,A man uses ice picks and crampons to scale ice .,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .,An ice climber scaling a frozen waterfall .,A person in blue and red ice climbing with two picks .
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .,A dog in grass with a blue item in his mouth .,A wet black dog is carrying a green toy through the grass .,A black dog carries a green toy in his mouth as he walks through the grass .,A black dog has a blue toy in its mouth .
1028205764_7e8df9a2ea.jpg,A man and a little boy in blue life jackets are rowing a yellow canoe .,A man and young boy ride in a yellow kayak .,A man and a baby are in a yellow kayak on water .,A man and child kayak through gentle waters .,Man and child in yellow kayak
1030985833_b0902ea560.jpg,A black dog and a brown dog are jumping up to catch a red toy .,The Chocolate Lab jumps too late to get the toy as the Black Lab captures it in the driveway .,A black dog and a brown dog play with a red toy on a courtyard .,Black dog snaps at red and black object as brown dog lunges .,A brown and black lab are outside and the black lab is catching a toy in its mouth .
103106960_e8a41d64f8.jpg,"Hockey goalie boy in red jacket crouches by goal , with stick .",A boy with a stick kneeling in front of a goalie net,A young kid playing the goalie in a hockey rink .,A child in a red jacket playing street hockey guarding a goal .,A young male kneeling in front of a hockey goal with a hockey stick in his right hand .
103195344_5d2dc613a3.jpg,A man in black is sitting next to a modern art structure in front of a glass building .,The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .,A man sits and reads a newspaper by a sculpture outside of an office building .,a man sits near a large statue .,A man sitting in front of a metal sculpture in front of a building .
103205630_682ca7285b.jpg,Two men are about to enter an ice fishing tent on a snow covered lake .,Two people standing outside a blue tent structure on a snowy surface .,A tent is being set up on the ice .,two men setting up a blue ice fishing hut on an iced over lake,"Two men , standing on an ice , looking into something covered with a blue tarp ."
1032122270_ea6f0beedb.jpg,Three dogs on a grassy hill,Three dogs stand in a grassy field while a person kneels nearby .,A woman crouches near three dogs in a field .,Three dogs are playing on grassy hill with a blue sky .,Three dogs are standing in the grass and a person is sitting next to them
1032460886_4a598ed535.jpg,A man stands in front of a skyscraper .,Behind the man in a red shirt stands a large skyscraper .,There is a skyscraper in the distance with a man walking in front of the camera .,a man is standing in front of a skyscraper,A man stands in front of a very tall building .
1034276567_49bb87c51c.jpg,A child biting into a baked good .,The boy eats his food outside at the table .,The boy is eating pizza over a tin dish .,A small boy putting something in his mouth with both hands .,A boy bites hard into a treat while he sits outside .
104136873_5b5d41be75.jpg,People sit on the mountainside and check out the view .,Three people rest on a ledge above the moutains .,Three people hang out on top of a big hill .,Three people are on a hilltop overlooking a green valley .,Three people overlook a green valley .
1042020065_fb3d3ba5ba.jpg,A boy looks over a railing at the many boats and rafts below in the water .,A young boy wearing a jersey looks down over a ledge at many boats in the water .,A boy in a green shirt is looking down at many inflatable boats .,A young boy overlooking a crowd of inflatable boats .,A boy in a green shirt watches kayakers .
1042590306_95dea0916c.jpg,"Asian man and blond woman holding hands outdoors , man in background watches .",A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .,Guy in blue shirt biting hand of girl in black striped jacket while another guy watches,A multiracial couple posing for a picture,A man and woman pose for the camera while another man looks on .
1045521051_108ebc19be.jpg,A television with a picture of a girl on it .,Someone is laying in front of the TV eating food .,A person sits on the floor and eats in front of a television .,A person eats takeout while watching a small television .,A young man sits on the floor by the television with a fast food meal in front of him .
